,Unnamed: 0,n,p,n_sample,n_influencers_mean,n_influencers_std,pct_valid,num_edges_mean,mean_degrees_mean,n_times_p,pct_influencers_mean
0,0,10,0.0001,100.0,10.0,0.0,1.0,0.0,0.0,0.001,1.0
1,1,10,0.001,100.0,9.93,0.2564323999762429,1.0,0.07,0.006999999999999999,0.01,0.993
2,2,10,0.002,100.0,9.87,0.3666666666666666,1.0,0.13,0.013,0.02,0.9869999999999999
3,3,10,0.005,100.0,9.62,0.5646130345536482,1.0,0.39,0.03900000000000002,0.05,0.962
4,4,10,0.01,100.0,9.15,0.8804842561071292,1.0,0.88,0.08799999999999995,0.1,0.915
5,5,10,0.02,100.0,8.32,1.162373051610847,1.0,1.84,0.184,0.2,0.8320000000000001
6,6,10,0.05,100.0,6.23,1.5945297904163631,1.0,4.64,0.4639999999999999,0.5,0.623
7,7,10,0.1,100.0,4.15,1.3512059708858508,1.0,8.83,0.883,1.0,0.41500000000000004
8,8,20,0.0001,100.0,19.96,0.19694638556693225,1.0,0.04,0.002,0.002,0.998
9,9,20,0.001,100.0,19.58,0.5891270720911633,1.0,0.42,0.021000000000000005,0.02,0.9789999999999999
10,10,20,0.002,100.0,19.34,0.7550503361372742,1.0,0.68,0.03399999999999999,0.04,0.967
11,11,20,0.005,100.0,18.12,1.2167185543107495,1.0,1.98,0.09899999999999996,0.1,0.906
12,12,20,0.01,100.0,16.59,1.7471188403838585,1.0,3.58,0.1789999999999999,0.2,0.8295
13,13,20,0.02,100.0,13.44,2.1617426565461755,1.0,7.92,0.396,0.4,0.6719999999999999
14,14,20,0.05,100.0,7.78,2.281148036326527,1.0,18.73,0.9365,1.0,0.389
15,15,20,0.1,100.0,2.85,1.4932508094081116,1.0,38.43,1.9215000000000009,2.0,0.14250000000000002
16,16,50,0.0001,100.0,49.78,0.4163331998932263,1.0,0.22,0.004400000000000001,0.005,0.9956
17,17,50,0.001,100.0,47.67,1.5045721563744885,1.0,2.38,0.0476,0.05,0.9534
18,18,50,0.002,100.0,45.33,1.9646111497436256,1.0,4.93,0.09859999999999992,0.1,0.9066
19,19,50,0.005,100.0,38.84,3.0007406493138413,1.0,12.63,0.2526,0.25,0.7768
20,20,50,0.01,100.0,30.35,3.435921354681384,1.0,24.43,0.4885999999999999,0.5,0.607
21,21,50,0.02,100.0,18.62,3.4253363766102303,1.0,48.62,0.9724,1.0,0.3724
22,22,50,0.05,100.0,3.95,1.9559543899993104,1.0,123.18,2.463600000000001,2.5,0.079
23,23,50,0.1,100.0,1.03,0.17144660799776548,1.0,246.0,4.92,5.0,0.0206
24,24,100,0.0001,100.0,98.99,0.9897964284119092,1.0,1.01,0.010100000000000008,0.01,0.9899
25,25,100,0.001,100.0,90.07,2.9991749707295363,1.0,10.41,0.10409999999999997,0.1,0.9007
26,26,100,0.002,100.0,82.78,3.86797261122828,1.0,19.09,0.19090000000000007,0.2,0.8278
27,27,100,0.005,100.0,61.22,4.220153666597575,1.0,48.94,0.4894000000000002,0.5,0.6122
28,28,100,0.01,100.0,37.42,4.348876552941837,1.0,97.73,0.9773000000000002,1.0,0.37420000000000003
29,29,100,0.02,100.0,13.44,3.5881961366613595,1.0,197.65,1.9765000000000008,2.0,0.1344
30,30,100,0.05,100.0,1.11,0.3732196796699357,1.0,496.35,4.963500000000002,5.0,0.0111
31,31,100,0.1,100.0,1.0,0.0,1.0,987.3,9.873,10.0,0.01
32,32,200,0.0001,100.0,196.09,1.8753854822597715,1.0,3.94,0.019699999999999985,0.02,0.98045
33,33,200,0.001,100.0,163.54,4.9306708622169415,1.0,40.05,0.20024999999999987,0.2,0.8177
34,34,200,0.002,100.0,135.85,6.205854192826824,1.0,77.79,0.38895,0.4,0.67925
35,35,200,0.005,100.0,73.61,6.6315666902834325,1.0,199.13,0.9956500000000004,1.0,0.36805
36,36,200,0.01,100.0,27.39,5.500954921693602,1.0,397.56,1.9878,2.0,0.13695000000000002
37,37,200,0.02,100.0,3.48,1.7377565939446116,1.0,794.56,3.9728,4.0,0.0174
38,38,200,0.05,100.0,1.0,0.0,1.0,1993.26,9.9663,10.0,0.005
39,39,200,0.1,100.0,1.0,0.0,1.0,3970.91,19.854549999999996,20.0,0.005
40,40,500,0.0001,100.0,476.78,4.462141534141091,1.0,23.73,0.04745999999999994,0.05,0.95356
41,41,500,0.001,100.0,304.02,10.518843121088011,1.0,247.84,0.4956800000000001,0.5,0.6080399999999999
42,42,500,0.002,100.0,182.24,11.30220323564383,1.0,501.57,1.00314,1.0,0.36448
43,43,500,0.005,100.0,40.17,5.937477272683776,1.0,1248.9,2.4978,2.5,0.08034000000000001
44,44,500,0.01,100.0,3.67,1.8480401849669084,1.0,2496.01,4.992019999999998,5.0,0.00734
45,45,500,0.02,100.0,1.0,0.0,1.0,4986.7,9.9734,10.0,0.002
46,46,500,0.05,100.0,1.0,0.0,1.0,12462.64,24.92528,25.0,0.002
47,47,500,0.1,100.0,1.0,0.0,1.0,24951.62,49.90324,50.0,0.002
48,48,1000,1e-06,100.0,999.01,0.9155778657672052,1.0,1.0,0.0010000000000000009,0.001,0.99901
49,49,1000,1e-05,100.0,990.03,3.503115496499964,1.0,10.06,0.010060000000000006,0.01,0.99003
50,50,1000,0.0001,100.0,905.22,9.534180932864976,1.0,99.84,0.09984000000000004,0.1,0.90522
51,51,1000,0.0002,100.0,820.29,11.019078954708558,1.0,199.31,0.19931000000000004,0.2,0.82029
52,52,1000,0.0005,100.0,606.05,16.891438869164073,1.0,501.89,0.5018899999999996,0.5,0.60605
53,53,1000,0.001,100.0,366.9,14.500087077411823,1.0,1001.9,1.0019,1.0,0.3669
54,54,2000,1e-06,100.0,1996.24,1.6824705259549342,1.0,3.76,0.0018800000000000012,0.002,0.99812
55,55,2000,1e-05,100.0,1960.92,6.049759991900183,1.0,39.49,0.019744999999999985,0.02,0.98046
56,56,2000,0.0001,100.0,1638.7,14.888474289418195,1.0,398.8,0.1994,0.2,0.81935
57,57,2000,0.0002,100.0,1346.13,19.413967168307487,1.0,794.05,0.3970249999999999,0.4,0.673065
58,58,2000,0.0005,100.0,735.48,20.800388496760387,1.0,2000.5,1.0002499999999996,1.0,0.36774
59,59,2000,0.001,100.0,271.08,15.436203018759626,1.0,3987.14,1.9935700000000005,2.0,0.13554
60,60,5000,1e-06,100.0,4976.03,4.951185961387679,1.0,24.01,0.004801999999999997,0.005,0.9952059999999999
61,61,5000,1e-05,100.0,4757.13,15.304092672394937,1.0,249.29,0.04985800000000001,0.05,0.951426
62,62,5000,0.0001,100.0,3032.82,37.09185431554557,1.0,2502.18,0.5004359999999999,0.5,0.606564
63,63,5000,0.0002,100.0,1837.0,34.02524315441657,1.0,4998.06,0.999612,1.0,0.3674
64,64,5000,0.0005,100.0,412.62,19.170041863556406,1.0,12485.37,2.497074,2.5,0.082524
65,65,5000,0.001,100.0,33.53,5.826541500631902,1.0,25001.42,5.000283999999997,5.0,0.006706
66,66,10000,1e-06,100.0,9900.67,8.408815720312937,1.0,99.81,0.009981000000000002,0.01,0.990067
67,67,10000,1e-05,100.0,9054.53,29.162884603273355,1.0,993.08,0.09930799999999998,0.1,0.9054530000000001
68,68,10000,0.0001,100.0,3672.73,45.27934731121124,1.0,10002.19,1.000219,1.0,0.367273
69,69,10000,0.0002,100.0,1354.83,37.50260731676606,1.0,19968.65,1.996865,2.0,0.135483
70,70,10000,0.0005,100.0,67.14,9.427040410918526,1.0,49994.63,4.999463,5.0,0.006714
71,71,10000,0.001,100.0,1.07,0.2564323999762429,1.0,99931.64,9.993164,10.0,0.00010700000000000001
